datetime	open	high	low	close	volume
03.01.2020 00:00	3441.5	3460.0	3431.0	3445.5	292736
06.01.2020 00:00	3450.0	3455.5	3407.0	3416.0	291656
08.01.2020 00:00	3411.5	3432.0	3381.0	3427.0	388935
09.01.2020 00:00	3312.0	3368.5	3300.5	3348.0	494609
10.01.2020 00:00	3355.0	3379.0	3312.0	3319.5	377004
13.01.2020 00:00	3330.0	3347.5	3306.5	3345.0	223029
14.01.2020 00:00	3347.0	3370.5	3325.5	3339.0	362490
15.01.2020 00:00	3342.0	3463.0	3334.5	3440.0	1536796
16.01.2020 00:00	3463.0	3629.5	3460.0	3625.0	1631990
17.01.2020 00:00	3661.0	3700.0	3590.5	3623.0	1427595
20.01.2020 00:00	3640.0	3889.5	3638.0	3855.0	1597387
21.01.2020 00:00	3840.0	3885.0	3714.5	3840.0	1142441
22.01.2020 00:00	3860.0	3939.0	3750.0	3750.0	1202498
23.01.2020 00:00	3723.0	3750.0	3632.0	3702.5	891907
24.01.2020 00:00	3733.5	3815.0	3706.5	3796.0	1029119
27.01.2020 00:00	3753.0	3763.0	3683.0	3708.5	588295
28.01.2020 00:00	3725.0	3812.0	3708.0	3751.0	598307
29.01.2020 00:00	3760.0	3870.0	3731.0	3819.5	719415
30.01.2020 00:00	3799.0	3874.0	3775.5	3830.0	619101
31.01.2020 00:00	3851.5	3870.0	3727.0	3727.0	683034
03.02.2020 00:00	3700.0	3761.0	3668.0	3720.5	564697
04.02.2020 00:00	3742.0	3797.0	3725.0	3750.0	454530
05.02.2020 00:00	3760.0	3805.5	3700.0	3783.5	1004594
06.02.2020 00:00	3814.5	3839.0	3655.0	3713.0	1508406
07.02.2020 00:00	3715.0	3727.0	3625.5	3640.0	655079
10.02.2020 00:00	3639.5	3657.5	3507.0	3564.5	788949
11.02.2020 00:00	3571.0	3597.0	3512.0	3575.0	595258
12.02.2020 00:00	3570.0	3760.0	3563.0	3760.0	1114524
13.02.2020 00:00	3745.0	3806.5	3712.5	3750.0	852128
14.02.2020 00:00	3760.0	3768.5	3661.0	3669.0	480722
17.02.2020 00:00	3684.0	3718.0	3651.5	3697.0	452986
18.02.2020 00:00	3690.0	3690.0	3605.0	3620.0	460776
19.02.2020 00:00	3632.5	3668.0	3557.5	3640.5	547506
20.02.2020 00:00	3651.0	3670.0	3617.0	3641.0	269228
21.02.2020 00:00	3621.0	3651.5	3591.0	3625.0	314889
25.02.2020 00:00	3555.0	3598.5	3500.0	3503.0	440348
26.02.2020 00:00	3489.0	3529.0	3390.5	3529.0	668365
27.02.2020 00:00	3483.5	3484.5	3320.0	3345.0	601865
28.02.2020 00:00	3236.0	3269.0	3054.0	3160.5	1463246
02.03.2020 00:00	3210.5	3271.5	3066.0	3201.0	752761
03.03.2020 00:00	3270.0	3288.0	3131.0	3150.0	808301
04.03.2020 00:00	3123.0	3182.0	3102.0	3130.0	533662
05.03.2020 00:00	3160.5	3169.0	3081.0	3121.0	522089
06.03.2020 00:00	3074.0	3093.5	2950.0	2984.0	864164
10.03.2020 00:00	2686.0	2820.0	2507.0	2669.5	2136382
11.03.2020 00:00	2689.0	2777.0	2630.0	2705.0	1265899
12.03.2020 00:00	2600.0	2625.0	2313.0	2337.0	1844208
13.03.2020 00:00	2328.5	2545.0	2289.0	2501.0	2038760
16.03.2020 00:00	2501.0	2650.0	2378.0	2636.0	1406042
17.03.2020 00:00	2590.0	2782.0	2583.5	2765.5	1388533
18.03.2020 00:00	2727.0	2890.0	2713.0	2780.0	1843211
19.03.2020 00:00	2765.5	2969.0	2765.5	2950.0	1234837
20.03.2020 00:00	2988.0	3075.0	2980.0	3002.5	1331208
23.03.2020 00:00	2950.0	3050.0	2830.0	2986.0	1070784
24.03.2020 00:00	3040.0	3095.0	3009.5	3020.0	735708
25.03.2020 00:00	3064.0	3134.0	2950.0	3070.0	1018016
26.03.2020 00:00	3070.0	3251.0	3003.0	3249.5	776805
27.03.2020 00:00	3251.0	3272.0	3063.5	3140.0	641570
30.03.2020 00:00	3100.5	3159.0	3045.0	3128.5	387316
31.03.2020 00:00	3148.5	3241.5	3065.0	3202.5	468279
01.04.2020 00:00	3157.0	3189.5	3116.5	3140.0	402234
02.04.2020 00:00	3179.5	3200.0	3115.0	3190.0	603461
03.04.2020 00:00	3164.5	3275.0	3158.0	3189.0	632382
06.04.2020 00:00	3206.5	3262.0	3191.0	3262.0	428372
07.04.2020 00:00	3280.5	3354.0	3254.0	3255.0	635367
08.04.2020 00:00	3230.0	3377.0	3204.0	3372.5	639362
09.04.2020 00:00	3390.0	3418.5	3287.5	3318.0	665341
