datetime	open	high	low	close	volume
03.01.2020 00:00	50.585	51.655	50.56	51.375	304536
06.01.2020 00:00	51.015	52.42	51.015	52.2	407091
08.01.2020 00:00	52.2	52.99	51.835	52.0	395390
09.01.2020 00:00	52.15	53.8	51.665	53.645	519731
10.01.2020 00:00	53.745	54.65	53.33	54.0	560518
13.01.2020 00:00	54.0	54.48	52.8	53.805	412542
14.01.2020 00:00	53.85	54.315	53.24	53.9	368245
15.01.2020 00:00	53.71	54.17	52.81	53.09	378563
16.01.2020 00:00	53.32	53.7	52.67	53.07	290721
17.01.2020 00:00	53.07	54.75	52.885	53.775	563948
20.01.2020 00:00	53.9	54.89	53.805	54.17	311704
21.01.2020 00:00	54.0	54.11	51.105	52.04	885800
22.01.2020 00:00	52.02	52.485	48.82	49.5	1258293
23.01.2020 00:00	49.1	49.2	47.35	47.8	962911
24.01.2020 00:00	47.91	49.25	47.57	48.08	613890
27.01.2020 00:00	47.145	47.76	46.13	46.5	595053
28.01.2020 00:00	46.72	47.7	45.1	47.395	914163
29.01.2020 00:00	47.84	48.815	47.325	47.935	676365
30.01.2020 00:00	47.7	48.375	47.115	47.9	392656
31.01.2020 00:00	48.295	48.44	46.045	46.045	540749
03.02.2020 00:00	45.935	46.07	44.375	44.455	898835
04.02.2020 00:00	44.605	47.29	43.455	46.705	1415793
05.02.2020 00:00	46.85	49.22	46.14	46.875	1582241
06.02.2020 00:00	47.21	47.885	46.14	46.965	675901
07.02.2020 00:00	46.95	47.66	45.32	46.125	628584
10.02.2020 00:00	46.21	46.45	45.34	46.22	459611
11.02.2020 00:00	46.6	48.375	46.325	47.725	839505
12.02.2020 00:00	48.035	49.035	47.81	49.0	852567
13.02.2020 00:00	48.71	48.82	47.855	48.31	477308
14.02.2020 00:00	48.315	48.78	47.44	48.32	480356
17.02.2020 00:00	48.48	49.13	48.31	48.625	257033
18.02.2020 00:00	48.09	48.475	46.56	46.695	675583
19.02.2020 00:00	47.0	47.65	46.77	47.46	359453
20.02.2020 00:00	47.605	48.005	47.39	47.39	258888
21.02.2020 00:00	46.94	47.63	46.7	46.755	380803
25.02.2020 00:00	45.975	46.495	44.805	44.805	674109
26.02.2020 00:00	44.425	44.52	42.9	44.0	1017554
27.02.2020 00:00	43.125	43.25	38.905	39.6	1703728
28.02.2020 00:00	37.995	38.955	36.07	38.435	1966387
02.03.2020 00:00	40.0	40.9	37.05	38.815	1213362
03.03.2020 00:00	40.0	40.385	38.78	39.05	817691
04.03.2020 00:00	38.57	39.325	38.055	38.455	752426
05.03.2020 00:00	38.75	38.84	37.05	37.76	822981
