datetime	open	high	low	close	volume
04.06.2020 00:00	68.0	68.3	66.06	66.89	2072244
05.06.2020 00:00	66.9	67.2	64.73	65.05	3367188
08.06.2020 00:00	65.5	67.81	65.09	66.5	3095800
09.06.2020 00:00	66.45	66.8	65.07	65.28	1875932
10.06.2020 00:00	65.4	65.7	63.6	64.15	3115746
11.06.2020 00:00	63.81	63.93	62.62	62.95	2241156
15.06.2020 00:00	62.39	63.5	61.27	63.5	3172771
16.06.2020 00:00	63.93	64.46	63.23	63.92	2775745
17.06.2020 00:00	64.05	64.6	63.64	63.94	1747283
18.06.2020 00:00	63.94	64.05	62.65	63.25	2703659
19.06.2020 00:00	63.56	65.33	63.38	64.22	2778264
22.06.2020 00:00	64.38	64.47	63.15	64.2	1518851
23.06.2020 00:00	64.36	64.83	63.87	64.29	1061908
25.06.2020 00:00	64.0	64.2	62.83	63.39	2494077
26.06.2020 00:00	63.35	63.7	62.9	63.24	1117316
29.06.2020 00:00	62.91	64.5	62.91	64.22	1239052
30.06.2020 00:00	64.36	64.86	64.13	64.49	1186417
02.07.2020 00:00	64.76	65.59	64.59	65.32	1405456
03.07.2020 00:00	65.4	65.79	64.82	65.67	734965
06.07.2020 00:00	65.82	66.5	65.51	66.07	1748740
07.07.2020 00:00	65.4	66.98	65.4	66.15	1748920
08.07.2020 00:00	66.3	66.92	66.08	66.88	1596953
09.07.2020 00:00	66.77	66.98	65.65	65.91	2117914
10.07.2020 00:00	63.69	64.28	63.18	64.2	1868542
13.07.2020 00:00	64.15	64.85	63.12	63.55	1155450
14.07.2020 00:00	63.58	63.64	61.85	62.49	1442945
15.07.2020 00:00	62.91	63.81	62.36	63.41	1233556
16.07.2020 00:00	63.4	64.38	62.94	64.18	1404607
17.07.2020 00:00	64.02	64.43	63.66	64.04	679226
20.07.2020 00:00	63.8	64.65	63.8	64.5	1235181
21.07.2020 00:00	64.8	65.92	64.39	65.0	1813242
22.07.2020 00:00	65.05	65.16	64.33	64.94	1091050
23.07.2020 00:00	65.0	65.1	63.87	64.02	1415674
24.07.2020 00:00	63.99	65.05	63.19	64.94	1463570
27.07.2020 00:00	65.44	66.84	64.93	66.68	1900177
28.07.2020 00:00	66.85	66.85	65.45	65.64	1088448
29.07.2020 00:00	65.73	67.6	65.65	66.34	2994497
30.07.2020 00:00	66.4	67.56	65.83	66.5	2256342
31.07.2020 00:00	66.7	68.64	66.23	68.27	2460917
03.08.2020 00:00	68.65	69.35	67.58	68.57	1695889
04.08.2020 00:00	68.47	70.08	67.57	69.9	2480892
05.08.2020 00:00	70.01	70.37	69.37	69.86	1511422
06.08.2020 00:00	70.0	70.18	69.55	70.1	966030
07.08.2020 00:00	70.0	70.0	68.33	68.85	1538244
10.08.2020 00:00	69.94	71.2	69.02	69.85	2263100
11.08.2020 00:00	69.7	70.25	68.9	69.44	1873191
12.08.2020 00:00	69.59	70.11	68.8	69.89	957360
13.08.2020 00:00	70.21	70.21	69.25	69.75	1238763
14.08.2020 00:00	69.5	69.81	67.5	67.98	3312673
17.08.2020 00:00	67.82	67.85	66.0	66.48	2478352
18.08.2020 00:00	66.45	66.95	65.01	65.42	2141114
19.08.2020 00:00	65.49	66.66	65.05	66.33	1455369
20.08.2020 00:00	66.2	66.65	65.42	66.34	1342535
21.08.2020 00:00	66.41	66.82	65.84	66.43	1133905
24.08.2020 00:00	66.66	67.54	66.24	67.39	990849
25.08.2020 00:00	67.47	67.59	66.61	67.19	958814
26.08.2020 00:00	67.2	67.58	66.35	67.4	1125882
27.08.2020 00:00	67.55	68.14	67.21	67.4	1181408
28.08.2020 00:00	67.32	67.55	66.8	67.18	586225
31.08.2020 00:00	67.31	68.02	65.65	66.15	2202233
01.09.2020 00:00	66.47	68.76	66.06	68.25	1957812
02.09.2020 00:00	68.35	68.53	66.06	66.67	1408687
03.09.2020 00:00	66.55	67.64	66.26	66.9	1372995
04.09.2020 00:00	67.03	68.18	66.6	67.92	2127911
07.09.2020 00:00	67.68	68.47	66.7	68.39	1326044
08.09.2020 00:00	68.48	69.75	68.28	69.37	2514833
09.09.2020 00:00	69.37	69.76	68.75	69.2	1134390
10.09.2020 00:00	69.13	72.46	68.53	71.65	4806225
11.09.2020 00:00	71.91	74.96	71.77	74.94	4301418
14.09.2020 00:00	75.07	75.64	73.23	73.7	3247129
15.09.2020 00:00	74.03	75.57	73.57	75.15	2598410
16.09.2020 00:00	75.48	75.48	74.13	74.98	1817633
17.09.2020 00:00	75.48	76.48	74.41	75.1	1780908
18.09.2020 00:00	75.28	77.25	75.02	76.3	2480580
21.09.2020 00:00	75.65	77.06	73.53	74.7	2330244
22.09.2020 00:00	75.1	75.24	73.69	74.93	1650234
23.09.2020 00:00	74.81	76.11	72.66	72.95	2474557
24.09.2020 00:00	73.07	73.49	71.42	73.04	2129384
25.09.2020 00:00	73.2	73.2	70.66	71.94	2011142
28.09.2020 00:00	71.99	72.76	71.6	72.64	1190152
29.09.2020 00:00	72.54	73.46	71.22	72.1	1605578
30.09.2020 00:00	72.11	74.12	72.0	73.78	3838970
01.10.2020 00:00	74.1	74.58	72.73	73.99	1720271
02.10.2020 00:00	73.7	74.43	72.92	74.12	1253474
05.10.2020 00:00	74.31	74.81	73.42	74.56	1047533
06.10.2020 00:00	74.53	77.69	74.44	76.97	2630973
07.10.2020 00:00	77.09	77.96	75.68	76.28	1873418
08.10.2020 00:00	76.07	77.97	76.07	77.7	1597994
09.10.2020 00:00	77.88	78.64	74.56	75.41	3352185
12.10.2020 00:00	75.6	78.44	75.02	78.22	2446405
13.10.2020 00:00	78.14	78.39	75.9	76.4	1606556
14.10.2020 00:00	76.31	77.46	76.03	76.85	1065845
15.10.2020 00:00	76.58	76.88	75.0	75.71	1226356
16.10.2020 00:00	75.47	76.97	75.29	76.0	1116610
