datetime	open	high	low	close	volume
03.04.2020 00:00	122.4	124.98	121.12	124.84	940397
06.04.2020 00:00	126.04	131.4	124.62	130.0	813553
07.04.2020 00:00	132.14	132.78	131.12	132.24	807720
08.04.2020 00:00	131.12	133.0	129.14	133.0	824540
09.04.2020 00:00	133.72	134.6	130.4	133.46	746548
10.04.2020 00:00	132.02	132.08	131.0	131.58	188775
13.04.2020 00:00	132.5	132.58	128.7	129.92	337283
14.04.2020 00:00	130.72	131.96	129.0	129.04	683304
15.04.2020 00:00	128.04	128.9	124.2	125.32	670234
16.04.2020 00:00	125.66	127.48	124.58	125.5	791364
17.04.2020 00:00	127.3	127.98	125.52	126.1	565926
20.04.2020 00:00	125.58	128.36	125.56	127.5	681480
21.04.2020 00:00	126.0	126.36	124.3	124.88	1085646
22.04.2020 00:00	124.44	127.48	124.44	125.5	874026
23.04.2020 00:00	126.3	128.34	125.4	127.46	606251
24.04.2020 00:00	127.58	127.58	124.4	124.84	986554
27.04.2020 00:00	124.72	125.88	123.16	123.16	644600
28.04.2020 00:00	123.0	126.46	122.4	125.6	868530
29.04.2020 00:00	126.02	128.3	125.08	127.1	529465
30.04.2020 00:00	127.64	128.4	125.94	128.34	684342
04.05.2020 00:00	127.68	127.68	123.9	124.8	535661
05.05.2020 00:00	125.98	126.4	124.7	125.08	325014
06.05.2020 00:00	125.8	126.1	124.06	124.06	443763
07.05.2020 00:00	124.5	126.58	124.12	124.9	500140
08.05.2020 00:00	125.22	125.58	123.92	125.0	376834
12.05.2020 00:00	124.3	124.48	122.1	122.1	763719
13.05.2020 00:00	122.02	122.12	118.24	118.24	555742
14.05.2020 00:00	118.1	118.92	116.02	117.28	732622
15.05.2020 00:00	118.32	120.22	117.52	118.4	522741
18.05.2020 00:00	119.98	124.64	119.5	124.64	860102
19.05.2020 00:00	124.04	126.26	123.2	125.02	898524
20.05.2020 00:00	125.02	128.6	124.4	128.1	854636
21.05.2020 00:00	128.02	129.28	125.06	125.7	539266
22.05.2020 00:00	125.02	128.36	124.32	128.28	715166
25.05.2020 00:00	128.5	132.48	128.44	132.2	598610
